2;26/06/2022 19:54:22;kafka_kafka_1;" 396.8MiB / 3.842GiB"
2;26/06/2022 19:54:38;kafka_kafka_1;" 397.8MiB / 3.842GiB"
2;26/06/2022 19:54:54;kafka_kafka_1;" 398.7MiB / 3.842GiB"
2;26/06/2022 19:55:11;kafka_kafka_1;" 399.5MiB / 3.842GiB"
2;26/06/2022 19:55:27;kafka_kafka_1;" 400.9MiB / 3.842GiB"
2;26/06/2022 19:55:41;kafka_kafka_1;" 402.4MiB / 3.842GiB"
2;26/06/2022 19:55:51;kafka_kafka_1;" 403.9MiB / 3.842GiB"
3;26/06/2022 19:56:08;kafka_kafka_1;" 361.1MiB / 3.842GiB"
3;26/06/2022 19:56:13;kafka_kafka_1;" 367.9MiB / 3.842GiB"
3;26/06/2022 19:56:16;kafka_kafka_1;" 368.3MiB / 3.842GiB"
3;26/06/2022 19:56:20;kafka_kafka_1;" 368.7MiB / 3.842GiB"
3;26/06/2022 19:56:23;kafka_kafka_1;" 372MiB / 3.842GiB"
3;26/06/2022 19:56:28;kafka_kafka_1;" 388.5MiB / 3.842GiB"
3;26/06/2022 19:56:33;kafka_kafka_1;" 389.4MiB / 3.842GiB"
3;26/06/2022 19:56:42;kafka_kafka_1;" 390.6MiB / 3.842GiB"
3;26/06/2022 19:56:52;kafka_kafka_1;" 391MiB / 3.842GiB"
3;26/06/2022 19:57:03;kafka_kafka_1;" 391.5MiB / 3.842GiB"
3;26/06/2022 19:57:14;kafka_kafka_1;" 392.4MiB / 3.842GiB"
3;26/06/2022 19:57:27;kafka_kafka_1;" 394.9MiB / 3.842GiB"
3;26/06/2022 19:57:40;kafka_kafka_1;" 390.6MiB / 3.842GiB"
3;26/06/2022 19:57:51;kafka_kafka_1;" 391MiB / 3.842GiB"
3;26/06/2022 19:58:02;kafka_kafka_1;" 391.7MiB / 3.842GiB"
3;26/06/2022 19:58:13;kafka_kafka_1;" 402MiB / 3.842GiB"
3;26/06/2022 19:58:25;kafka_kafka_1;" 405.8MiB / 3.842GiB"
3;26/06/2022 19:58:38;kafka_kafka_1;" 393.6MiB / 3.842GiB"
3;26/06/2022 19:58:54;kafka_kafka_1;" 394.4MiB / 3.842GiB"
3;26/06/2022 19:59:11;kafka_kafka_1;" 395.5MiB / 3.842GiB"
3;26/06/2022 19:59:26;kafka_kafka_1;" 396.4MiB / 3.842GiB"
3;26/06/2022 19:59:42;kafka_kafka_1;" 397.1MiB / 3.842GiB"
3;26/06/2022 19:59:56;kafka_kafka_1;" 399.3MiB / 3.842GiB"
3;26/06/2022 20:00:06;kafka_kafka_1;" 400.6MiB / 3.842GiB"
4;26/06/2022 20:00:23;kafka_kafka_1;" 356.6MiB / 3.842GiB"
4;26/06/2022 20:00:26;kafka_kafka_1;" 365.6MiB / 3.842GiB"
4;26/06/2022 20:00:30;kafka_kafka_1;" 365.9MiB / 3.842GiB"
4;26/06/2022 20:00:33;kafka_kafka_1;" 367.3MiB / 3.842GiB"
4;26/06/2022 20:00:37;kafka_kafka_1;" 369.1MiB / 3.842GiB"
4;26/06/2022 20:00:42;kafka_kafka_1;" 391.8MiB / 3.842GiB"
4;26/06/2022 20:00:47;kafka_kafka_1;" 386.2MiB / 3.842GiB"
4;26/06/2022 20:00:55;kafka_kafka_1;" 383.5MiB / 3.842GiB"
4;26/06/2022 20:01:04;kafka_kafka_1;" 384.1MiB / 3.842GiB"
4;26/06/2022 20:01:15;kafka_kafka_1;" 384.5MiB / 3.842GiB"
4;26/06/2022 20:01:27;kafka_kafka_1;" 385.2MiB / 3.842GiB"
4;26/06/2022 20:01:40;kafka_kafka_1;" 383.3MiB / 3.842GiB"
4;26/06/2022 20:01:53;kafka_kafka_1;" 383.9MiB / 3.842GiB"
4;26/06/2022 20:02:05;kafka_kafka_1;" 385.7MiB / 3.842GiB"
4;26/06/2022 20:02:16;kafka_kafka_1;" 386.5MiB / 3.842GiB"
4;26/06/2022 20:02:27;kafka_kafka_1;" 386MiB / 3.842GiB"
4;26/06/2022 20:02:40;kafka_kafka_1;" 400.2MiB / 3.842GiB"
4;26/06/2022 20:02:53;kafka_kafka_1;" 387.7MiB / 3.842GiB"
4;26/06/2022 20:03:09;kafka_kafka_1;" 389.5MiB / 3.842GiB"
4;26/06/2022 20:03:25;kafka_kafka_1;" 391.7MiB / 3.842GiB"
